department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
AAEC,1005,Econ Food Fiber Sys,Moore,10060,3,3.34,175,61.1,24.6,8.6,1.7,4.0,0
AAEC,1006,Econ Food Fiber Syst,Ellerbrock,10061,3,2.92,216,33.8,37.5,20.8,6.5,1.4,0
AAEC,2104,Personal Financial Planning,White,10062,3,3.30,150,58.0,24.7,12.0,4.0,1.3,0
AAEC,2464,Religion and Science,Ellerbrock,10063,3,2.91,66,37.9,36.4,18.2,3.0,4.5,0
AAEC,3004,Agr Prod & Cons Econ,Taylor,10064,3,3.09,32,37.5,40.6,18.8,0.0,3.1,0
AAEC,3015,AAEC Internship,Lytton,10065,1,3.39,20,65.0,20.0,5.0,10.0,0.0,0
AAEC,3104,Fin Planning for Professionals,Lytton,10066,3,2.58,40,22.5,30.0,32.5,12.5,2.5,0
AAEC,3314,Environmental Law,Geyer,10067,3,2.94,166,39.2,41.6,10.8,3.0,5.4,0
AAEC,3314,Environmental Law,Geyer,10068,3,3.02,38,36.8,31.6,28.9,0.0,2.6,0
AAEC,3404,Ag Fin Mgt,White,10069,3,3.23,75,49.3,30.7,18.7,1.3,0.0,0
AAEC,3414,"Farm, Coop, Agbus Mgt",Reaves,10070,3,3.06,56,25.0,62.5,12.5,0.0,0.0,0
AAEC,3424,Food Agribus Mkt Mgt,Sink,10071,3,3.80,52,90.4,5.8,0.0,1.9,1.9,0
AAEC,3514,Ag Futures,Grant,10072,3,3.54,39,61.5,30.8,7.7,0.0,0.0,0
AAEC,4124,Client Relationship Management,Lytton,10073,3,2.98,23,26.1,56.5,13.0,4.3,0.0,0
AAEC,4304,Env Sus Dev Econ,Ellerbrock,10074,3,2.96,57,33.3,38.6,24.6,1.8,1.8,0
AAEC,4314,Env Econ Analy & Mgt,Stephenson,10075,3,3.83,10,80.0,20.0,0.0,0.0,0.0,0
AAEC,4404,Ag Mgmt & Prob Solv,Moore,10076,4,3.78,52,86.5,13.5,0.0,0.0,0.0,0
AAEC,4514,Adv Agribus Mkting,Sink,10077,1,3.87,19,89.5,10.5,0.0,0.0,0.0,0
AAEC,4764,Real Estate Appraisal,Geyer,10078,3,3.22,161,41.6,36.6,20.5,1.2,0.0,0
AAEC,4804,Elementary Econometrics,You,10079,3,3.31,11,36.4,63.6,0.0,0.0,0.0,0
AAEC,4984,"SS:Food, Nutritn, Health Econ",Davis,17114,3,3.87,32,84.4,15.6,0.0,0.0,0.0,0
AAEC,1005,Econ Food Fiber Sys,Reaves,17188,3,2.97,36,33.3,38.9,25.0,2.8,0.0,0
AAEC,4984,SS:Strategic Mgt Negotiation,Crowder,17377,3,3.36,13,46.2,46.2,7.7,0.0,0.0,0
AAEC,4974,IS:Kohl Agribusiness Centre,Sink,17457,3,4.00,12,100.0,0.0,0.0,0.0,0.0,0
ACIS,5034,Global Issues in ACIS,Tegarden,17119,3,3.34,40,45.0,45.0,10.0,0.0,0.0,0
ACIS,5294,Management Control Systems,Wood,17141,3,3.54,34,50.0,50.0,0.0,0.0,0.0,0
ACIS,5504,Sys/Database Concepts,Sen,15633,3,3.60,48,62.5,37.5,0.0,0.0,0.0,0
ACIS,5524,Adv Database Mgt Sys,Sen,15634,3,3.48,54,55.6,44.4,0.0,0.0,0.0,0
ACIS,5104,Fundamentals of Accounting,Bhattacharjee,15888,3,3.43,10,40.0,60.0,0.0,0.0,0.0,0
ACIS,5294,Management Control Systems,Bhattacharjee,15889,3,3.65,15,73.3,26.7,0.0,0.0,0.0,0
ACIS,5604,Accounting Fundamentals,Salbador,15890,2,3.46,22,54.5,45.5,0.0,0.0,0.0,0
ACIS,5614,Implementing Mgt Controls,Lobingier,15805,2,3.95,36,94.4,5.6,0.0,0.0,0.0,0
ACIS,3314,Tax Impact on Decisions,Hicks,16484,3,3.08,44,34.1,47.7,18.2,0.0,0.0,0
ACIS,4024,Info Sys Audit & Con,Fan,16485,3,3.16,10,10.0,90.0,0.0,0.0,0.0,0
ACIS,5014,Info Sys Audit & Ctrl,Fan,16487,3,3.53,38,57.9,42.1,0.0,0.0,0.0,0
ACIS,5584,Info Sys Security & Assurance,Wallace,16491,3,3.32,18,44.4,50.0,5.6,0.0,0.0,0
ACIS,1504,Intro Bus Info Sys,Lacoste,10092,3,2.62,330,13.9,43.6,33.9,7.3,1.2,0
ACIS,1504,Intro Bus Info Sys,Lacoste,10093,3,2.32,269,11.9,30.1,40.1,13.8,4.1,0
ACIS,2004,Survey of Accounting,Easterwood,10094,3,2.25,30,10.0,23.3,43.3,23.3,0.0,0
ACIS,2004,Survey of Accounting,Easterwood,10095,3,2.64,33,21.2,36.4,30.3,9.1,3.0,0
ACIS,2004,Survey of Accounting,Easterwood,10096,3,2.84,38,28.9,34.2,34.2,2.6,0.0,0
ACIS,2004,Survey of Accounting,Easterwood,10097,3,2.04,43,9.3,16.3,48.8,18.6,7.0,0
ACIS,2115,Principles of Accounting,Easterwood,10098,3,2.11,42,9.5,35.7,31.0,14.3,9.5,0
ACIS,2115,Principles of Accounting,Easterwood,10099,3,2.39,51,11.8,39.2,33.3,11.8,3.9,0
ACIS,2115,Principles of Accounting,Easterwood,10100,3,2.46,42,11.9,35.7,40.5,11.9,0.0,0
ACIS,2115,Principles of Accounting,Easterwood,10101,3,2.29,56,7.1,37.5,41.1,14.3,0.0,0
ACIS,2115,Principles of Accounting,Easterwood,10102,3,1.95,49,4.1,28.6,36.7,22.4,8.2,0
ACIS,2115,Principles of Accounting,Easterwood,10103,3,2.48,47,19.1,36.2,27.7,12.8,4.3,0
ACIS,2115,Principles of Accounting,Easterwood,10104,3,2.06,39,0.0,33.3,43.6,23.1,0.0,0
ACIS,2115,Principles of Accounting,Easterwood,10105,3,2.05,38,10.5,28.9,26.3,26.3,7.9,0
ACIS,2116,Principles of Accounting,Easterwood,10106,3,2.30,36,5.6,41.7,38.9,11.1,2.8,0
ACIS,2116,Principles of Accounting,Easterwood,10108,3,2.46,23,13.0,47.8,26.1,4.3,8.7,0
ACIS,2116,Principles of Accounting,Easterwood,10109,3,2.55,36,22.2,33.3,33.3,5.6,5.6,0
ACIS,2116,Principles of Accounting,Easterwood,10110,3,2.31,42,14.3,28.6,35.7,19.0,2.4,0
ACIS,2116,Principles of Accounting,Easterwood,10111,3,2.45,36,13.9,36.1,38.9,11.1,0.0,0
ACIS,2116,Principles of Accounting,Easterwood,10113,3,2.45,32,21.9,31.3,28.1,18.8,0.0,0
ACIS,2116,Principles of Accounting,Easterwood,10114,3,2.63,44,15.9,47.7,27.3,6.8,2.3,0
ACIS,2116,Principles of Accounting,Easterwood,10115,3,2.59,47,19.1,38.3,29.8,6.4,6.4,0
ACIS,2116,Principles of Accounting,Easterwood,10116,3,2.40,41,7.3,46.3,31.7,12.2,2.4,0
ACIS,2116,Principles of Accounting,Easterwood,10117,3,2.43,46,19.6,30.4,37.0,8.7,4.3,0
ACIS,2116,Principles of Accounting,Easterwood,10118,3,2.58,42,16.7,38.1,35.7,9.5,0.0,0
ACIS,2116,Principles of Accounting,Easterwood,10119,3,2.53,31,16.1,45.2,22.6,12.9,3.2,0
ACIS,2116,Principles of Accounting,Easterwood,10120,3,2.35,45,4.4,44.4,40.0,8.9,2.2,0
ACIS,2116,Principles of Accounting,Easterwood,10121,3,2.35,26,15.4,30.8,34.6,15.4,3.8,0
ACIS,2116,Principles of Accounting,Easterwood,10122,3,2.65,44,18.2,45.5,27.3,9.1,0.0,0
ACIS,2116,Principles of Accounting,Easterwood,10123,3,2.17,35,17.1,20.0,40.0,11.4,11.4,0
ACIS,2116,Principles of Accounting,Easterwood,10124,3,2.23,38,21.1,15.8,39.5,21.1,2.6,0
ACIS,2116,Principles of Accounting,Easterwood,10125,3,2.46,43,16.3,39.5,27.9,11.6,4.7,0
ACIS,2504,Personal Computers in Business,Griffin,10126,3,3.00,166,33.1,47.0,16.3,1.8,1.8,0
ACIS,2504,Personal Computers in Business,Griffin,10127,3,2.75,121,33.1,30.6,23.1,9.9,3.3,0
ACIS,3115,Intermediate Financial Acct,Brozovsky,10128,3,2.00,42,9.5,23.8,33.3,21.4,11.9,0
ACIS,3115,Intermediate Financial Acct,Brozovsky,10129,3,2.05,38,7.9,26.3,36.8,23.7,5.3,0
ACIS,3115,Intermediate Financial Acct,Brozovsky,10130,3,2.44,44,20.5,29.5,36.4,4.5,9.1,0
ACIS,3115,Intermediate Financial Acct,Reed,10131,3,2.06,36,2.8,25.0,47.2,25.0,0.0,0
ACIS,3115,Intermediate Financial Acct,Reed,10132,3,2.03,43,9.3,16.3,44.2,25.6,4.7,0
ACIS,3116,Intermediate Financial Acct,Oler,10133,3,2.79,43,16.3,51.2,30.2,2.3,0.0,0
ACIS,3116,Intermediate Financial Acct,Oler,10134,3,2.75,42,14.3,50.0,31.0,4.8,0.0,0
ACIS,3116,Intermediate Financial Acct,Oler,10135,3,2.89,31,6.5,74.2,19.4,0.0,0.0,0
ACIS,3116,Intermediate Financial Acct,Oler,10136,3,2.91,42,19.0,54.8,26.2,0.0,0.0,0
ACIS,3314,Tax Impact on Decisions,Hicks,10137,3,2.89,44,22.7,59.1,15.9,0.0,2.3,0
ACIS,3314,Tax Impact on Decisions,Cloyd,10138,3,2.83,50,20.0,50.0,30.0,0.0,0.0,0
ACIS,3314,Tax Impact on Decisions,Salbador,10139,3,3.25,62,53.2,29.0,11.3,4.8,1.6,0
ACIS,3314,Tax Impact on Decisions,Cloyd,10140,3,3.00,49,26.5,49.0,24.5,0.0,0.0,0
ACIS,3414,"Auditing, Governance & Ethics",Reed,10141,3,2.72,39,10.3,59.0,28.2,2.6,0.0,0
ACIS,3414,"Auditing, Governance & Ethics",Popova,10142,3,2.70,45,11.1,46.7,40.0,2.2,0.0,0
ACIS,3414,"Auditing, Governance & Ethics",Popova,10143,3,2.49,18,5.6,44.4,50.0,0.0,0.0,0
ACIS,3414,"Auditing, Governance & Ethics",Popova,10144,3,2.68,40,5.0,55.0,37.5,2.5,0.0,0
ACIS,3504,Acct Sys and Controls,Wallace,10145,3,2.37,30,10.0,40.0,36.7,3.3,10.0,0
ACIS,4024,Info Sys Audit & Con,Fan,10148,3,3.36,11,36.4,63.6,0.0,0.0,0.0,0
ACIS,4114,Advanced Financial Accounting,Lobingier,10149,3,2.83,33,30.3,30.3,30.3,9.1,0.0,0
ACIS,4114,Advanced Financial Accounting,Lobingier,10150,3,2.97,38,15.8,65.8,15.8,2.6,0.0,0
ACIS,4124,Governmental Acctg,Lobingier,10151,3,2.88,11,18.2,54.5,27.3,0.0,0.0,0
ACIS,4214,Cost Planning and Control,Killough,10153,3,2.63,50,6.0,58.0,34.0,2.0,0.0,0
ACIS,4214,Cost Planning and Control,Killough,10154,3,2.95,43,20.9,53.5,25.6,0.0,0.0,0
ACIS,4504,Acct Application Development,Hicks,10155,3,3.32,60,36.7,58.3,5.0,0.0,0.0,0
ACIS,4504,Acct Application Development,Hicks,10156,3,3.48,61,57.4,34.4,6.6,1.6,0.0,0
ACIS,5014,Info Sys Audit & Ctrl,Fan,10163,3,3.55,28,60.7,39.3,0.0,0.0,0.0,0
ACIS,5124,Govt & Nfp Acctg,Lobingier,10165,3,3.53,33,51.5,48.5,0.0,0.0,0.0,0
ACIS,5194,Financial Statement Analysis,Brown,10166,3,3.50,43,48.8,51.2,0.0,0.0,0.0,0
ACIS,5214,Adv Strategic Cost Mgt,Killough,10167,3,3.73,15,73.3,26.7,0.0,0.0,0.0,0
ACIS,5294,Management Control Systems,Wood,10168,3,3.49,28,60.7,39.3,0.0,0.0,0.0,0
ACIS,5324,Taxation of Business Entities,Seago,10169,3,3.56,30,50.0,50.0,0.0,0.0,0.0,0
ACIS,5334,Advanced Corporate Tax,Seago,10170,3,3.78,15,80.0,20.0,0.0,0.0,0.0,0
ACIS,5364,Multi-jurisdictional Tax Cncpt,Salbador,10171,3,3.48,13,46.2,53.8,0.0,0.0,0.0,0
ACIS,5414,Auditing Theory,Jenkins,10172,3,3.30,41,26.8,73.2,0.0,0.0,0.0,0
ACIS,5414,Auditing Theory,Jenkins,10173,3,3.35,40,35.0,62.5,2.5,0.0,0.0,0
ACIS,5584,Info Sys Security & Assurance,Wallace,10177,3,3.27,21,38.1,52.4,9.5,0.0,0.0,0
AEE,3634,Comm Ag & Life Sci in Speaking,Kaufman,10182,3,3.21,15,40.0,46.7,6.7,0.0,6.7,0
AEE,3634,Comm Ag & Life Sci in Speaking,Kaufman,10183,3,3.59,14,50.0,50.0,0.0,0.0,0.0,0
AEE,3634,Comm Ag & Life Sci in Speaking,Kaufman,10184,3,3.92,13,92.3,7.7,0.0,0.0,0.0,0
AEE,3634,Comm Ag & Life Sci in Speaking,Kaufman,10185,3,3.83,12,83.3,16.7,0.0,0.0,0.0,0
AEE,4044,Agricultural Sciences Seminar,Broyles,10187,3,3.98,15,100.0,0.0,0.0,0.0,0.0,0
AEE,4754,Internship in Education,Moore,10192,7,4.00,12,100.0,0.0,0.0,0.0,0.0,0
AEE,5154,Partnerships and Volunteerism,Rudd,15636,3,3.87,19,94.7,5.3,0.0,0.0,0.0,0
AEE,5984,SS:Seminar in Teach Ag Educ,Moore,17585,2,3.65,12,50.0,50.0,0.0,0.0,0.0,0
AEE,3084,Agricultural Metal Fabrication,Broyles,17390,3,3.60,22,77.3,13.6,4.5,0.0,4.5,0
AEE,4754,Internship in Education,Trudeau,17413,1,3.97,22,100.0,0.0,0.0,0.0,0.0,0
AFST,1714,Intro African American Studies,Seniors,17301,3,3.15,33,54.5,33.3,0.0,6.1,6.1,0
AFST,3634,African American Literature,Oakey,17334,3,3.02,13,15.4,69.2,15.4,0.0,0.0,0
AFST,4354,Issues in Africana Studies,Akoma,17013,3,2.83,28,46.4,25.0,14.3,3.6,10.7,0
AFST,2774,Black Aesthetics,Polanah,17030,3,3.31,39,38.5,53.8,5.1,2.6,0.0,0
AFST,2984,SS:Crime in Black Community,Neal,17857,3,3.79,15,93.3,6.7,0.0,0.0,0.0,0
AFST,1714,Intro African American Studies,Johnson,10209,3,3.48,44,56.8,36.4,6.8,0.0,0.0,0
AFST,1714,Intro African American Studies,Seniors,10210,3,3.20,43,55.8,25.6,14.0,2.3,2.3,0
AFST,1814,Intro to African Studies,Polanah,10211,3,3.18,58,31.0,56.9,12.1,0.0,0.0,0
AFST,2734,The Black Woman in the U.S.,Lucas,10213,3,3.31,18,55.6,33.3,5.6,5.6,0.0,0
AFST,2744,The Black Church in America,Dixon,10214,3,3.55,10,70.0,30.0,0.0,0.0,0.0,0
AHRM,2024,Apparel Structure and Fit,Quesenberry,10226,3,3.66,18,83.3,11.1,5.6,0.0,0.0,0
AHRM,2204,Introduction to Textiles,Chen-Yu,10227,3,3.08,43,34.9,41.9,16.3,7.0,0.0,0
AHRM,2304,Family Financial Management,Brunson,10228,3,3.32,119,58.8,21.0,13.4,5.9,0.8,0
AHRM,2404,Consumer Rights,Fisher,10229,3,3.31,103,46.6,42.7,7.8,2.9,0.0,0
AHRM,2504,Resource Mgt Indiv/Families,Fisher,10230,3,3.31,56,57.1,25.0,12.5,5.4,0.0,0
AHRM,2614,Intro Residential Technologies,Emmel,10231,2,2.28,31,12.9,29.0,38.7,19.4,0.0,0
AHRM,2634,Residential Technologies Lab,Emmel,10232,1,3.81,14,85.7,7.1,7.1,0.0,0.0,0
AHRM,2676,Residential Property Mgt,Mitchell,10233,3,3.00,29,31.0,37.9,27.6,3.4,0.0,0
AHRM,3104,Fashion Retailing Concepts,Kincade,10236,3,3.59,33,63.6,33.3,3.0,0.0,0.0,0
AHRM,3624,House Planning II,Beamish,10240,3,3.28,17,47.1,35.3,17.6,0.0,0.0,0
AHRM,4264,Merchandising Strategies,Kincade,10245,3,3.81,37,97.3,0.0,0.0,0.0,2.7,0
AHRM,4324,Financial Counseling,Anong,10246,3,3.39,17,41.2,52.9,5.9,0.0,0.0,0
AHRM,4414,Professional in Consum Affairs,Leech,10247,3,3.53,15,66.7,26.7,0.0,6.7,0.0,0
AHRM,4604,Housing Energy & Environment,Parrott,10248,3,2.70,73,15.1,47.9,30.1,5.5,1.4,0
AHRM,4684,Advanced Property Management,Mitchell,10250,3,3.03,40,32.5,45.0,17.5,5.0,0.0,0
AHRM,4694,Contemporary Issues Prop Mgt,Mitchell,10251,3,2.62,50,24.0,30.0,32.0,14.0,0.0,0
AHRM,4414,Professional in Consum Affairs,Leech,17837,3,3.31,16,56.3,31.3,6.3,0.0,6.3,0
AHRM,4014,Senior Studio,Kim,16908,3,3.89,13,84.6,15.4,0.0,0.0,0.0,0
AHRM,2264,Intro Fashion Industry,Kim,16911,3,3.60,21,66.7,28.6,4.8,0.0,0.0,0
AHRM,4614,Adv Residential Technologies,Emmel,16914,3,2.81,34,14.7,61.8,17.6,2.9,2.9,0
AHRM,4124,Clothing Behavior Patterns,Chen-Yu,16916,3,3.31,26,38.5,53.8,7.7,0.0,0.0,0
AHRM,2675,Residential Property Mgt,Goss,16917,3,2.79,38,10.5,60.5,26.3,2.6,0.0,0
AHRM,4984,SS:Sm Bus Apparel Retail Dev,Gaskill,17442,3,3.19,25,52.0,28.0,12.0,8.0,0.0,0
AHRM,2984,SS:Fashion Pres Techniques,Quesenberry,17438,3,3.93,52,98.1,0.0,1.9,0.0,0.0,0
AHRM,2214,Apparel Textiles Laboratory,Wimmer,15639,1,3.55,42,61.9,31.0,7.1,0.0,0.0,0
AINS,1104,Intro American Indian Studies,Dyer,16698,3,3.57,23,69.6,21.7,8.7,0.0,0.0,0
AINS,1104,Intro American Indian Studies,Dyer,10277,3,3.79,22,81.8,18.2,0.0,0.0,0.0,0
AINS,1104,Intro American Indian Studies,Dyer,10278,3,3.55,25,68.0,24.0,8.0,0.0,0.0,0
AINS,1104,Intro American Indian Studies,Cook,10279,3,3.95,26,96.2,3.8,0.0,0.0,0.0,0
AINS,4004,TS:Indigenous Ecology,Dyer,10282,3,3.95,13,100.0,0.0,0.0,0.0,0.0,0
ALHR,5514,Adult Learning,Boucouvalas,15891,3,4.00,11,100.0,0.0,0.0,0.0,0.0,0
ALHR,5584,Facilitating Adult Learning,Klunk,15893,3,3.83,11,90.9,9.1,0.0,0.0,0.0,0
ALS,3304,Physiology of Reproduction,Knight,16622,3,2.70,23,26.1,43.5,17.4,8.7,4.3,0
ALS,3304,Physiology of Reproduction,Knight,16623,3,2.96,23,39.1,34.8,17.4,4.3,4.3,0
ALS,3304,Physiology of Reproduction,Knight,16624,3,2.97,22,27.3,50.0,18.2,0.0,4.5,0
ALS,5984,SS:Analy Anim Exper with SAS,McGilliard,17517,2,3.44,22,45.5,54.5,0.0,0.0,0.0,0
ALS,4984,SS:Animal Breed & Genetics Rec,Splan,16999,1,3.28,97,45.4,41.2,9.3,4.1,0.0,0
ALS,5984,SS:Protein/Amno Acid/Vit Metab,Escobar,17178,3,3.39,10,30.0,70.0,0.0,0.0,0.0,0
ALS,4614,Watershed Assess Mgt Policy,Bosch,17150,2,3.58,13,69.2,30.8,0.0,0.0,0.0,0
ALS,2304,Animal Physiology and Anatomy,Gwazdauskas,10285,4,2.67,24,16.7,37.5,41.7,4.2,0.0,0
ALS,2304,Animal Physiology and Anatomy,Gwazdauskas,10286,4,2.35,23,4.3,43.5,34.8,17.4,0.0,0
ALS,2304,Animal Physiology and Anatomy,Gwazdauskas,10287,4,2.09,22,4.5,22.7,50.0,18.2,4.5,0
ALS,3104,Animal Breeding and Genetics,Splan,10291,3,3.28,97,45.4,41.2,9.3,4.1,0.0,0
ALS,3134,Livestock and the Environment,Knowlton,10292,3,3.95,24,95.8,4.2,0.0,0.0,0.0,0
ALS,3204,Animal Nutrition and Feeding,Eversole,10293,3,2.57,88,17.0,45.5,22.7,9.1,5.7,0
ALS,4574,Social Behav Birds & Mammals,Dunnington,10299,3,3.22,24,37.5,54.2,8.3,0.0,0.0,0
ALS,6314,Endocrinology,Jiang,10314,3,3.43,10,40.0,60.0,0.0,0.0,0.0,0
AOE,2074,Computational Methods,Staples,10316,3,2.83,38,21.1,57.9,15.8,0.0,5.3,0
AOE,3054,AOE Experimental Methods,Borgoltz,10327,3,3.36,106,42.5,52.8,4.7,0.0,0.0,0
AOE,3094,Materials for Aero & Ocean Eng,Dowling,10328,3,2.85,73,31.5,38.4,17.8,9.6,2.7,0
AOE,3094,Materials for Aero & Ocean Eng,Abiade,10329,3,2.78,55,29.1,38.2,20.0,7.3,5.5,0
AOE,3104,Aircraft Performance,Woolsey,10330,3,2.85,127,29.1,39.4,26.8,0.8,3.9,0
AOE,3114,Compressible Aerodynamics,Devenport,10331,3,2.45,37,10.8,32.4,48.6,8.1,0.0,0
AOE,3114,Compressible Aerodynamics,Devenport,10332,3,2.63,57,19.3,40.4,33.3,3.5,3.5,0
AOE,3124,Aerospace Structures,Johnson,10333,3,3.41,51,60.8,25.5,9.8,2.0,2.0,0
AOE,3124,Aerospace Structures,Johnson,10334,3,3.17,41,41.5,39.0,14.6,0.0,4.9,0
AOE,3134,Stability and Control,Sultan,10335,3,3.12,66,34.8,48.5,9.1,4.5,3.0,0
AOE,3204,Naval Architecture,McCue-Weil,10336,3,2.91,46,32.6,34.8,26.1,4.3,2.2,0
AOE,3224,Ocean Structures,Hughes,10337,3,3.39,32,43.8,50.0,6.3,0.0,0.0,0
AOE,3264,Res & Prop Of Ships,Neu,10338,3,2.67,40,17.5,37.5,40.0,5.0,0.0,0
AOE,4004,CAD Controls,Woolsey,10339,3,3.78,16,87.5,6.3,6.3,0.0,0.0,0
AOE,4066,Design,Brown,10342,3,3.32,12,58.3,25.0,16.7,0.0,0.0,0
AOE,4066,Design,Mason,10343,3,3.33,50,38.0,52.0,10.0,0.0,0.0,0
AOE,4066,Design,Shinpaugh,10344,3,3.51,37,56.8,37.8,5.4,0.0,0.0,0
AOE,4140,Spacecraft Dynamics & Control,Hall,10346,3,2.91,38,21.1,47.4,28.9,2.6,0.0,0
AOE,4214,Ocean Wave Mechanics,Cramer,10348,3,3.75,63,79.4,15.9,4.8,0.0,0.0,0
AOE,4244,Marine Engineering,Brown,10349,3,2.98,28,17.9,60.7,21.4,0.0,0.0,0
AOE,4404,Applied Numerical Methods,Philen,10350,3,3.61,44,68.2,27.3,4.5,0.0,0.0,0
AOE,5034,Mechanical & Struct Dynamics,Patil,10356,3,3.75,10,90.0,10.0,0.0,0.0,0.0,0
AOE,5114,High Speed Aerodynamics,Grossman,10357,3,3.29,15,40.0,53.3,6.7,0.0,0.0,0
AOE,4124,Configuration Aerodynamics,Mason,17402,3,3.00,10,20.0,60.0,20.0,0.0,0.0,0
AOE,4064,Fluid Flows in Nature,Schetz,15640,3,3.22,179,47.5,34.6,15.6,2.2,0.0,0
AOE,5144,Boundary-Layer Theory,Schetz,15641,3,3.04,18,27.8,55.6,16.7,0.0,0.0,0
AOE,5224,Linear Optimal Control Systems,Farhood,17788,3,3.13,10,20.0,70.0,10.0,0.0,0.0,0
