department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
ACIS,2116,Principles of Accounting,Wood,70068,3,3.06,21,28.6,52.4,14.3,4.8,0.0,0
ACIS,2116,Principles of Accounting,Wood,70069,3,2.49,23,26.1,26.1,26.1,13.0,8.7,0
AHRM,4034,History of Costume,Quesenberry,71167,3,3.87,10,90.0,10.0,0.0,0.0,0.0,0
AOE,3104,Aircraft Performance,Crede,70104,3,3.15,22,40.9,40.9,9.1,9.1,0.0,0
ARCH,5756,Advanced Design Laboratory,Thompson,70150,3,3.12,18,27.8,61.1,11.1,0.0,0.0,0
ARCH,2984,SS:Qualifying Design Lab,Albright,71514,3,3.12,58,17.2,77.6,5.2,0.0,0.0,0
ARCH,2984,SS:Design Thinking,Albright,71550,3,3.69,11,63.6,36.4,0.0,0.0,0.0,0
AT,0194,AT Internship,Doak,70164,3,3.33,12,75.0,8.3,0.0,8.3,8.3,0
BC,2014,Construction Principles I,McCoy,70165,3,3.44,18,44.4,50.0,5.6,0.0,0.0,0
BCHM,4124,Lab Prob Biochemistry,Gregory,71469,6,3.38,16,43.8,56.3,0.0,0.0,0.0,0
BIOL,2104,Cell and Molecular Biology,Walker,71512,3,2.55,22,18.2,22.7,54.5,4.5,0.0,0
BIOL,2804,Ecology,Buikema,71513,3,2.66,14,21.4,28.6,42.9,7.1,0.0,0
BIOL,1106,Principles of Biology,Rosenzweig,71172,3,1.97,27,7.4,29.6,25.9,29.6,7.4,0
BIOL,1106,Principles of Biology,Sheppard,70175,3,2.96,23,39.1,30.4,21.7,8.7,0.0,0
BIOL,1116,Principles of Biol Lab,Webb,70176,1,3.09,18,27.8,50.0,22.2,0.0,0.0,0
BIOL,2704,Evolutionary Biology,Sheppard,71538,3,3.24,36,47.2,33.3,13.9,5.6,0.0,1
BIT,2405,Quantitative Methods,Ru,70185,3,2.48,16,18.8,37.5,18.8,18.8,6.3,0
BIT,2406,Quantitative Methods,Clark,70186,3,2.90,63,34.9,34.9,22.2,4.8,3.2,1
BIT,3414,Operations & Supply Chain Mgt,Clark,70187,3,3.06,32,40.6,31.3,21.9,6.3,0.0,0
CEE,3514,Intro to Geotechnical Engr,Dove,70211,3,2.51,27,14.8,40.7,33.3,7.4,3.7,0
CEE,3604,Intro Transport Engr,Katz,70212,3,3.43,33,60.6,33.3,3.0,0.0,3.0,0
CEE,3684,Civil Engineering Materials,Ramniceanu,70213,3,2.96,18,27.8,44.4,22.2,5.6,0.0,0
CHE,4014,Chem Engr Laboratory,Martin,70224,5,3.43,40,40.0,60.0,0.0,0.0,0.0,0
CHEM,1036,General Chemistry,Brown,70231,3,2.60,43,25.6,30.2,25.6,14.0,4.7,2
CHEM,1046,General Chemistry Lab,Amateis,70232,1,3.02,14,21.4,57.1,21.4,0.0,0.0,0
CHEM,1046,General Chemistry Lab,Amateis,70233,1,3.54,13,61.5,30.8,7.7,0.0,0.0,1
CHEM,2536,Organic Chemistry,Santos,70235,3,2.65,110,20.9,38.2,29.1,10.0,1.8,1
CHEM,2546,Organic Chemistry Laboratory,Santos,70236,1,2.99,22,27.3,45.5,27.3,0.0,0.0,0
CHEM,2546,Organic Chemistry Laboratory,Santos,70237,1,2.94,18,22.2,50.0,27.8,0.0,0.0,0
CHEM,2546,Organic Chemistry Laboratory,Santos,70238,1,2.87,18,27.8,38.9,27.8,5.6,0.0,0
CHEM,2546,Organic Chemistry Laboratory,Santos,70240,1,3.04,16,31.3,43.8,25.0,0.0,0.0,1
CHEM,2546,Organic Chemistry Laboratory,Santos,70241,1,3.11,18,22.2,66.7,11.1,0.0,0.0,0
CHEM,4615,Phys Chem Life Sci,Marand,71593,3,2.25,11,18.2,36.4,27.3,0.0,18.2,0
COMM,2004,Public Speaking,Stallings,71597,3,3.09,16,50.0,37.5,0.0,0.0,12.5,0
COMM,2124,Intro Comm Research,Ivory,71608,3,2.79,14,35.7,28.6,21.4,7.1,7.1,0
COMM,2004,Public Speaking,Stallings,70258,3,3.34,16,43.8,50.0,6.3,0.0,0.0,0
COMM,2004,Public Speaking,Kuypers,70259,3,3.09,16,31.3,56.3,12.5,0.0,0.0,0
COMM,4024,Communications Law and Ethics,Hopkins,70263,3,2.29,16,12.5,25.0,43.8,18.8,0.0,0
COMM,4074,Organizational Communication,Waymer,71178,3,3.42,22,54.5,40.9,4.5,0.0,0.0,0
COMM,2044,Principles of Public Relations,Waymer,71487,3,3.08,31,45.2,35.5,9.7,6.5,3.2,0
COMM,3144,Advanced Media Writing,Cannon,71566,3,3.42,15,46.7,46.7,6.7,0.0,0.0,0
COMM,2034,Visual Media,Watson,71570,3,3.39,21,66.7,23.8,0.0,4.8,4.8,0
COMM,2004,Public Speaking,Kuypers,71572,3,3.59,14,71.4,28.6,0.0,0.0,0.0,0
CS,1044,Intro Prog in C,Allevato,70267,3,3.29,24,54.2,33.3,4.2,0.0,8.3,0
CS,2114,Softw Des & Data Structures,Leidig,71551,3,3.68,15,80.0,20.0,0.0,0.0,0.0,0
ECE,2204,Electronics,Meehan,70295,3,2.65,20,20.0,55.0,15.0,0.0,10.0,3
ECE,2274,Elctrnc Netwks Lab I,Cooper,70296,1,3.68,19,78.9,10.5,10.5,0.0,0.0,0
