department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
ACIS,1504,Intro Bus Info Sys,Brown,60066,3,3.04,24,45.8,25.0,20.8,4.2,4.2,1
ACIS,2115,Principles of Accounting,Easterwood,60067,3,2.41,22,22.7,31.8,22.7,13.6,9.1,0
ACIS,2115,Principles of Accounting,Almond,60068,3,3.14,24,45.8,33.3,12.5,8.3,0.0,0
ACIS,2115,Principles of Accounting,Almond,60069,3,2.84,27,33.3,29.6,29.6,7.4,0.0,0
ACIS,2116,Principles of Accounting,Jenkins,60070,3,3.89,14,92.9,7.1,0.0,0.0,0.0,0
ACIS,2116,Principles of Accounting,Ross,60071,3,2.53,16,6.3,50.0,31.3,6.3,6.3,0
ACIS,2116,Principles of Accounting,Ross,60072,3,2.65,17,29.4,23.5,35.3,11.8,0.0,0
ACIS,2116,Principles of Accounting,Ross,60073,3,3.00,11,27.3,45.5,27.3,0.0,0.0,0
ACIS,2504,Personal Computers in Business,Brown,60074,3,2.81,28,21.4,42.9,32.1,3.6,0.0,1
ACIS,3115,Intermediate Financial Acct,Brozovsky,60076,3,2.75,17,23.5,41.2,23.5,11.8,0.0,0
ACIS,3115,Intermediate Financial Acct,Brozovsky,60077,3,1.86,11,0.0,36.4,36.4,18.2,9.1,1
ACIS,3314,Tax Impact on Decisions,Seago,60078,3,2.90,23,34.8,34.8,26.1,0.0,4.3,0
ACIS,3504,Acct Sys and Controls,Wallace,60079,3,3.00,11,36.4,45.5,9.1,0.0,9.1,0
ACIS,3954,Study Abroad,Belanger,60083,3,4.00,16,100.0,0.0,0.0,0.0,0.0,0
ACIS,4114,Advanced Financial Accounting,Brozovsky,60084,3,2.56,22,18.2,36.4,31.8,9.1,4.5,1
ACIS,4214,Cost Planning and Control,Ross,60086,3,2.85,13,46.2,15.4,30.8,0.0,7.7,0
ACIS,4314,Principles of Taxation,Seago,60087,3,2.71,20,20.0,40.0,25.0,15.0,0.0,0
ACIS,4414,Financial Statement Auditing,Popova,60088,3,3.20,26,42.3,46.2,7.7,3.8,0.0,0
ACIS,5124,Govt & Nfp Acctg,Easterwood,60090,3,3.39,18,44.4,55.6,0.0,0.0,0.0,0
ACIS,5614,Implementing Mgt Controls,Bhattacharjee,61566,2,3.68,19,78.9,21.1,0.0,0.0,0.0,0
ACIS,1504,Intro Bus Info Sys,Brown,62149,3,3.27,22,54.5,18.2,27.3,0.0,0.0,0
AHRM,2504,Resource Mgt Indiv/Families,Fisher,62025,3,3.14,14,57.1,14.3,21.4,0.0,7.1,0
ALHR,6804,Hist Am Adult Educ,Renard,62016,3,3.87,10,90.0,10.0,0.0,0.0,0.0,0
AOE,3094,Materials for Aero & Ocean Eng,Corcoran,60120,3,2.53,11,45.5,18.2,9.1,9.1,18.2,0
ARCH,4055,Envir Bldg Systems,Jones,60178,3,3.92,12,100.0,0.0,0.0,0.0,0.0,0
ARCH,5755,Advanced Design Laboratory,Weiner,60203,3,3.53,19,57.9,42.1,0.0,0.0,0.0,0
ARCH,2984,SS:Qualifying Design Lab,Bassett,62083,3,3.16,48,4.2,91.7,4.2,0.0,0.0,0
ART,1404,Drawing I,Bannan,62072,3,3.65,12,75.0,25.0,0.0,0.0,0.0,0
BC,1214,Intro to BC I,Mills,60225,3,3.61,16,62.5,37.5,0.0,0.0,0.0,0
BC,1224,Intro to BC II,Mills,60226,3,3.92,17,94.1,5.9,0.0,0.0,0.0,0
BCHM,2024,Concepts of Biochemistry,Kennelly,60232,3,2.83,46,21.7,39.1,34.8,4.3,0.0,0
BIOL,1105,Principles of Biology,Shokraii,60238,3,2.59,27,18.5,37.0,29.6,14.8,0.0,0
BIOL,1115,Principles of Biol Lab,Webb,60239,1,3.02,20,40.0,35.0,20.0,0.0,5.0,0
BIOL,2004,Genetics,Shokraii,60241,3,2.93,26,26.9,42.3,26.9,3.8,0.0,0
BIOL,2604,General Microbiology,Seyler,60242,3,3.15,47,42.6,38.3,17.0,2.1,0.0,1
