department,course_number_1,course_title,faculty,course_ei,credit_hours,qca,number,As,Bs,Cs,Ds,Fs,Textbox10
ACIS,1504,Intro to Bus Analytics & BI,Martin,40252,3,3.53,44,70.5,15.9,11.4,0.0,2.3,0
AFST,1714,Intro African American Studies,Seniors,40361,3,3.92,16,100.0,0.0,0.0,0.0,0.0,0
AHRM,2404,Consumer Rights,Fisher,40395,3,3.79,12,91.7,8.3,0.0,0.0,0.0,0
AINS,1104,Intro American Indian Studies,Cook,40373,3,4.00,14,100.0,0.0,0.0,0.0,0.0,0
BC,1214,Intro to BC I,Goldsmith,40256,3,3.82,29,89.7,10.3,0.0,0.0,0.0,0
BIOL,1105,Principles of Biology,Lipscomb,40257,3,2.24,25,16.0,28.0,36.0,4.0,16.0,0
BIOL,1106,Principles of Biology,Hogan,40258,3,2.94,36,22.2,50.0,25.0,2.8,0.0,0
BIOL,2104,Cell and Molecular Biology,Finkielstein,40259,3,3.67,35,71.4,25.7,2.9,0.0,0.0,0
BIOL,2704,Evolutionary Biology,Sheppard,40260,3,2.96,20,20.0,60.0,20.0,0.0,0.0,1
BIT,2405,Quantitative Methods,Major,40261,3,2.20,21,4.8,28.6,57.1,9.5,0.0,1
BIT,2405,Quantitative Methods,Major,40262,3,2.56,12,25.0,33.3,25.0,8.3,8.3,2
BIT,2406,Quantitative Methods,Nottingham,40263,3,2.92,44,25.0,47.7,22.7,4.5,0.0,1
BIT,2406,Quantitative Methods,Nottingham,40264,3,2.73,16,6.3,62.5,25.0,6.3,0.0,0
BIT,3414,Operations & Supply Chain Mgt,Deane,40266,3,3.20,38,34.2,50.0,15.8,0.0,0.0,0
BIT,3424,Intro Bus Analytics Modeling,Abrahams,40267,3,3.44,18,55.6,33.3,11.1,0.0,0.0,0
BIT,3434,Adv Modeling for Bus Analytics,Rakes,40268,3,3.89,19,89.5,10.5,0.0,0.0,0.0,0
BIT,3444,Adv Bus Comp and App,Wang,40269,3,3.95,15,93.3,6.7,0.0,0.0,0.0,1
BIT,3954,Study Abroad,Matheson,40271,3,4.00,13,100.0,0.0,0.0,0.0,0.0,0
BIT,4514,Database Technology for Bus,Zobel,40274,3,3.31,17,41.2,52.9,0.0,5.9,0.0,0
BIT,4444,Web-Based DSS,Wang,40411,3,3.55,13,76.9,15.4,0.0,7.7,0.0,1
BIT,3414,Operations & Supply Chain Mgt,Deane,40425,3,2.88,17,17.6,64.7,11.8,0.0,5.9,0
BIT,4514,Database Technology for Bus,Zobel,40426,3,3.23,15,33.3,60.0,6.7,0.0,0.0,1
CEE,3604,Intro Transport Engr,Katz,40377,3,3.66,29,79.3,17.2,3.4,0.0,0.0,0
CHE,2124,ChE Simulations,Goldstein,40276,2,2.90,16,18.8,62.5,12.5,6.3,0.0,0
CHEM,1035,General Chemistry,Arachchige,40423,3,2.58,24,12.5,54.2,20.8,8.3,4.2,1
CLA,2444,Greek and Roman Myth,Phillips,40277,3,3.81,24,83.3,16.7,0.0,0.0,0.0,0
COMM,2004,Public Speaking,Coble,40279,3,3.45,16,62.5,31.3,6.3,0.0,0.0,0
COMM,2004,Public Speaking,Conner,40280,3,3.61,18,61.1,38.9,0.0,0.0,0.0,1
COMM,2004,Public Speaking,Purcell,40281,3,3.76,16,81.3,18.8,0.0,0.0,0.0,0
COMM,2004,Public Speaking,Sowder,40282,3,3.65,17,70.6,29.4,0.0,0.0,0.0,0
COMM,2044,Principles of Public Relations,Myers,40283,3,3.76,11,81.8,18.2,0.0,0.0,0.0,0
COMM,3124,Interpersonal Communication,Shinault,40286,3,3.13,18,38.9,44.4,11.1,5.6,0.0,0
COMM,4024,Communication Law,Hopkins,40289,3,2.63,29,6.9,58.6,27.6,6.9,0.0,0
COMM,2004,Public Speaking,Quesenberry,40435,3,3.31,14,57.1,35.7,0.0,0.0,7.1,0
COMM,4074,Organizational Communication,Stallings,40404,3,3.48,13,53.8,38.5,7.7,0.0,0.0,0
CONS,2304,Family Financial Management,Solis,40396,3,3.36,14,64.3,28.6,0.0,0.0,7.1,0
